object_id,natural_week,start_date,quantity
1_1_16_8,8,3/20/2022,55
1_1_16_8,7,3/27/2022,41
1_1_16_8,6,4/3/2022,29
1_1_16_8,5,4/10/2022,30
1_1_16_8,4,4/17/2022,38
1_1_16_8,3,4/24/2022,59
1_1_16_8,2,5/1/2022,49
1_1_16_8,1,5/8/2022,53
1_1_1_8,157,5/12/2019,127
1_1_1_8,156,5/19/2019,181
1_1_1_8,155,5/26/2019,159
1_1_1_8,154,6/2/2019,178
1_1_1_8,153,6/9/2019,208
1_1_1_8,152,6/16/2019,287
1_1_1_8,151,6/23/2019,248
1_1_1_8,150,6/30/2019,318
1_1_1_8,149,7/7/2019,241
1_1_1_8,148,7/14/2019,243
1_1_1_8,147,7/21/2019,287
1_1_1_8,146,7/28/2019,306
1_1_1_8,145,8/4/2019,302
1_1_1_8,144,8/11/2019,347
1_1_1_8,143,8/18/2019,321
1_1_1_8,142,8/25/2019,294
1_1_1_8,141,9/1/2019,311
1_1_1_8,140,9/8/2019,325
1_1_1_8,139,9/15/2019,291
1_1_1_8,138,9/22/2019,370
1_1_1_8,137,9/29/2019,333
1_1_1_8,136,10/6/2019,275
1_1_1_8,135,10/13/2019,337
1_1_1_8,134,10/20/2019,343
1_1_1_8,133,10/27/2019,374
1_1_1_8,132,11/3/2019,385
1_1_1_8,131,11/10/2019,450
1_1_1_8,130,11/17/2019,501
1_1_1_8,129,11/24/2019,455
1_1_1_8,128,12/1/2019,615
1_1_1_8,127,12/8/2019,948
1_1_1_8,126,12/15/2019,1202
1_1_1_8,125,12/22/2019,1390
1_1_1_8,124,12/29/2019,745
1_1_1_8,123,1/5/2020,423
1_1_1_8,122,1/12/2020,296
1_1_1_8,121,1/19/2020,280
1_1_1_8,120,1/26/2020,304
1_1_1_8,119,2/2/2020,297
1_1_1_8,118,2/9/2020,280
1_1_1_8,117,2/16/2020,230
1_1_1_8,116,2/23/2020,229
1_1_1_8,115,3/1/2020,240
1_1_1_8,114,3/8/2020,230
1_1_1_8,113,3/15/2020,174
1_1_1_8,112,3/22/2020,101
1_1_1_8,111,3/29/2020,44
1_1_1_8,108,4/19/2020,1
1_1_1_8,107,4/26/2020,6
1_1_1_8,106,5/3/2020,22
1_1_1_8,105,5/10/2020,23
1_1_1_8,104,5/17/2020,24
1_1_1_8,103,5/24/2020,22
1_1_1_8,102,5/31/2020,92
1_1_1_8,101,6/7/2020,129
1_1_1_8,100,6/14/2020,199
1_1_1_8,99,6/21/2020,287
1_1_1_8,98,6/28/2020,333
1_1_1_8,97,7/5/2020,291
1_1_1_8,96,7/12/2020,289
1_1_1_8,95,7/19/2020,246
1_1_1_8,94,7/26/2020,245
1_1_1_8,93,8/2/2020,239
1_1_1_8,92,8/9/2020,308
1_1_1_8,91,8/16/2020,275
1_1_1_8,90,8/23/2020,336
1_1_1_8,89,8/30/2020,330
1_1_1_8,88,9/6/2020,323
1_1_1_8,87,9/13/2020,356
1_1_1_8,86,9/20/2020,359
1_1_1_8,85,9/27/2020,378
1_1_1_8,84,10/4/2020,417
1_1_1_8,83,10/11/2020,374
1_1_1_8,82,10/18/2020,374
1_1_1_8,81,10/25/2020,392
1_1_1_8,80,11/1/2020,383
1_1_1_8,79,11/8/2020,465
1_1_1_8,78,11/15/2020,474
1_1_1_8,77,11/22/2020,360
1_1_1_8,76,11/29/2020,516
1_1_1_8,75,12/6/2020,720
1_1_1_8,74,12/13/2020,933
1_1_1_8,73,12/20/2020,913
1_1_1_8,72,12/27/2020,579
1_1_1_8,71,1/3/2021,415
1_1_1_8,70,1/10/2021,293
1_1_1_8,69,1/17/2021,145
1_1_1_8,68,1/24/2021,213
1_1_1_8,67,1/31/2021,259
1_1_1_8,66,2/7/2021,277
1_1_1_8,65,2/14/2021,255
1_1_1_8,64,2/21/2021,277
1_1_1_8,63,2/28/2021,264
1_1_1_8,62,3/7/2021,231
1_1_1_8,61,3/14/2021,230
1_1_1_8,60,3/21/2021,243
1_1_1_8,59,3/28/2021,203
1_1_1_8,58,4/4/2021,229
1_1_1_8,57,4/11/2021,230
1_1_1_8,56,4/18/2021,232
1_1_1_8,55,4/25/2021,224
1_1_1_8,54,5/2/2021,230
1_1_1_8,53,5/9/2021,354
1_1_1_8,52,5/16/2021,285
1_1_1_8,51,5/23/2021,252
1_1_1_8,50,5/30/2021,263
1_1_1_8,49,6/6/2021,227
1_1_1_8,48,6/13/2021,291
1_1_1_8,47,6/20/2021,281
1_1_1_8,46,6/27/2021,362
1_1_1_8,45,7/4/2021,341
1_1_1_8,44,7/11/2021,316
1_1_1_8,43,7/18/2021,291
1_1_1_8,42,7/25/2021,281
1_1_1_8,41,8/1/2021,281
1_1_1_8,40,8/8/2021,259
1_1_1_8,39,8/15/2021,288
1_1_1_8,38,8/22/2021,277
1_1_1_8,37,8/29/2021,297
1_1_1_8,36,9/5/2021,327
1_1_1_8,35,9/12/2021,320
1_1_1_8,34,9/19/2021,345
1_1_1_8,33,9/26/2021,340
1_1_1_8,32,10/3/2021,331
1_1_1_8,31,10/10/2021,310
1_1_1_8,30,10/17/2021,352
1_1_1_8,29,10/24/2021,336
1_1_1_8,28,10/31/2021,356
1_1_1_8,27,11/7/2021,398
1_1_1_8,26,11/14/2021,437
1_1_1_8,25,11/21/2021,433
1_1_1_8,24,11/28/2021,490
1_1_1_8,23,12/5/2021,644
1_1_1_8,22,12/12/2021,790
1_1_1_8,21,12/19/2021,1028
1_1_1_8,20,12/26/2021,567
1_1_1_8,19,1/2/2022,455
1_1_1_8,18,1/9/2022,212
1_1_1_8,17,1/16/2022,171
1_1_1_8,16,1/23/2022,216
1_1_1_8,15,1/30/2022,237
1_1_1_8,14,2/6/2022,299
1_1_1_8,13,2/13/2022,295
1_1_1_8,12,2/20/2022,231
1_1_1_8,11,2/27/2022,239
1_1_1_8,10,3/6/2022,254
1_1_1_8,9,3/13/2022,247
1_1_1_8,8,3/20/2022,246
1_1_1_8,7,3/27/2022,191
1_1_1_8,6,4/3/2022,200
1_1_1_8,5,4/10/2022,185
1_1_1_8,4,4/17/2022,214
1_1_1_8,3,4/24/2022,192
1_1_1_8,2,5/1/2022,209
1_1_1_8,1,5/8/2022,209
1_1_5_14,157,5/12/2019,44
1_1_5_14,156,5/19/2019,35
1_1_5_14,155,5/26/2019,51
1_1_5_14,154,6/2/2019,43
1_1_5_14,153,6/9/2019,76
1_1_5_14,152,6/16/2019,134
1_1_5_14,151,6/23/2019,177
1_1_5_14,150,6/30/2019,186
1_1_5_14,149,7/7/2019,125
1_1_5_14,148,7/14/2019,140
1_1_5_14,147,7/21/2019,178
1_1_5_14,146,7/28/2019,165
1_1_5_14,145,8/4/2019,197
1_1_5_14,144,8/11/2019,188
1_1_5_14,143,8/18/2019,178
1_1_5_14,142,8/25/2019,171
1_1_5_14,141,9/1/2019,199
1_1_5_14,140,9/8/2019,267
